"Customer_Name","Promo_Transactions","Total_Transactions","Promo_Response_Rate"
Amy Duncan,5,6,83.33
Amy Holloway,5,6,83.33
Lisa Brewer,5,6,83.33
Stephanie Moon,5,6,83.33
John Suarez,5,6,83.33
Scott James,5,6,83.33
Steven Allison,5,6,83.33
Derek Clark,5,6,83.33
Scott Ochoa,5,6,83.33
Terri Jones,15,18,83.33
Lisa Barry,5,6,83.33
Joshua Dawson,5,6,83.33
Tina Marshall,5,6,83.33
Nicholas Diaz,10,12,83.33
Susan Green,15,18,83.33
Jonathan Dixon,5,6,83.33
Kimberly Key,5,6,83.33
Joseph Luna,5,6,83.33
Joshua Hood,5,6,83.33
Anthony May,5,6,83.33
Taylor Marshall,5,6,83.33
Alexis Coleman,5,6,83.33
Diamond Smith,5,6,83.33
Thomas Berry,5,6,83.33
Madison Taylor,5,6,83.33
Kevin Pierce,5,6,83.33
Hector Lewis,5,6,83.33
Jessica Serrano,5,6,83.33
Shannon Cox,5,6,83.33
Chad Clark,5,6,83.33
Donna Ruiz,5,6,83.33
Teresa Walters,5,6,83.33
Claudia Lopez,5,6,83.33
Nathaniel Thompson,5,6,83.33
Nicholas Castillo,5,6,83.33
Danny King,5,6,83.33
Chad Parker,5,6,83.33
Kimberly Norman,5,6,83.33
Michelle Sloan,5,6,83.33
Brian Escobar,5,6,83.33
Steven Curtis,5,6,83.33
Timothy Mack,5,6,83.33
Michelle Esparza,5,6,83.33
Larry Fernandez,5,6,83.33
Joshua Mclaughlin,5,6,83.33
Ashley Holmes,5,6,83.33
Brandon Watson,5,6,83.33
Paula Hall,5,6,83.33
Sydney Hill,5,6,83.33
Elizabeth Townsend,5,6,83.33
Calvin Johnson,5,6,83.33
Paul Cobb,5,6,83.33
Brittany Ryan,5,6,83.33
Jordan Cooper,5,6,83.33
Daniel Mckee,5,6,83.33
Gary Cooper,5,6,83.33
Vincent Hill,5,6,83.33
Patricia Porter,5,6,83.33
Amber Snyder,5,6,83.33
Katherine Banks,5,6,83.33
Nicholas Wang,5,6,83.33
Aaron Collins,5,6,83.33
David Cherry,5,6,83.33
Jamie Hughes,5,6,83.33
Rachel Kim,5,6,83.33
Samantha Riley,5,6,83.33
William Moon,5,6,83.33
Emily Becker,5,6,83.33
Jessica Vance,5,6,83.33
Matthew Watkins,10,12,83.33
Danielle Bradley,5,6,83.33
Rebecca Hicks,5,6,83.33
Joel Reed,5,6,83.33
Christine Cox,5,6,83.33
Jennifer Costa,5,6,83.33
Melissa Terry,5,6,83.33
Lisa Arroyo,5,6,83.33
Terry Castillo,5,6,83.33
Lindsey Baker,5,6,83.33
Erin Curtis,5,6,83.33
Kimberly Gallagher,5,6,83.33
Robert Delgado,5,6,83.33
Corey Moore,5,6,83.33
Carlos Lee,5,6,83.33
Jacqueline Baker,5,6,83.33
Russell Campbell,5,6,83.33
Tyler Turner,5,6,83.33
Erik Adams,5,6,83.33
Erin Ford,5,6,83.33
Alan Nelson,5,6,83.33
Lauren Phillips,10,12,83.33
Laura Swanson,5,6,83.33
Vanessa Clark,5,6,83.33
Christopher Booth,5,6,83.33
Jason Hunter,5,6,83.33
Sara Morales,5,6,83.33
James Ochoa,5,6,83.33
Jason Ortega,5,6,83.33
Kyle Taylor,15,18,83.33
Brent Clark,5,6,83.33
Christine Richards,5,6,83.33
Crystal Taylor,15,18,83.33
Anthony Chen,5,6,83.33
Mary Rojas,5,6,83.33
Jessica Bryan,5,6,83.33
Denise Butler,5,6,83.33
Nicole Reyes,5,6,83.33
Nancy Perry,5,6,83.33
Christopher Olsen,5,6,83.33
Anthony Andersen,5,6,83.33
Shannon Gibson,5,6,83.33
Michelle Hansen,5,6,83.33
Jessica Parsons,5,6,83.33
Justin Novak,5,6,83.33
Nancy Harper,5,6,83.33
James Velez,5,6,83.33
Eric Ferguson,5,6,83.33
Chad Santiago,5,6,83.33
Kelly Stone,5,6,83.33
Jacqueline Dixon,5,6,83.33
Christopher Waters,5,6,83.33
Jacob Mason,5,6,83.33
Suzanne Martin,5,6,83.33
Joanna Anderson,5,6,83.33
Eddie Jones,5,6,83.33
Matthew Cantu,5,6,83.33
Anthony Reese,5,6,83.33
Joseph Hatfield,5,6,83.33
David Mccormick,10,12,83.33
Matthew Kemp,5,6,83.33
Christine Hall,10,12,83.33
Tina Torres,5,6,83.33
Robert Liu,5,6,83.33
Stephen Mills,5,6,83.33
Kevin Bennett,10,12,83.33
Timothy Pierce,5,6,83.33
Erin Leonard,5,6,83.33
Ronald Taylor,10,12,83.33
Angela Webster,5,6,83.33
Charles Luna,5,6,83.33
David Vang,5,6,83.33
Courtney Washington,5,6,83.33
Michael Hardin,5,6,83.33
Nicole Ross,10,12,83.33
Justin Gutierrez,5,6,83.33
Lisa Shaw,5,6,83.33
April Hansen,5,6,83.33
Megan Fields,5,6,83.33
Nicholas Mendoza,10,12,83.33
Tara Wood,5,6,83.33
Stephanie Castaneda,5,6,83.33
William Kramer,5,6,83.33
Eric Blackwell,5,6,83.33
David Montes,5,6,83.33
Elizabeth Woods,5,6,83.33
Sue Johnson,5,6,83.33
Terry Kelley,5,6,83.33
William Andersen,5,6,83.33
Brittany Sullivan,5,6,83.33
Sandra Harrington,5,6,83.33
Juan Gonzalez,10,12,83.33
Suzanne Peterson,5,6,83.33
Richard Norton,5,6,83.33
Angela Ballard,5,6,83.33
Carla Morgan,5,6,83.33
Breanna Reed,5,6,83.33
Kevin Potter,5,6,83.33
Todd Clark,10,12,83.33
John Fitzpatrick,5,6,83.33
Theresa Young,5,6,83.33
Jessica Tucker,10,12,83.33
Heather Chavez,5,6,83.33
Kelly Parrish,5,6,83.33
Charles Gross,5,6,83.33
Keith Wilson,20,24,83.33
Robert Fox,10,12,83.33
Jamie Owen,5,6,83.33
Patrick May,5,6,83.33
Nathan Kim,5,6,83.33
Jordan Patterson,5,6,83.33
Eric Curtis,5,6,83.33
Debra Gonzales,5,6,83.33
Laura Medina,5,6,83.33
Ryan Gibbs,5,6,83.33
Heather Reese,5,6,83.33
Christopher Buck,5,6,83.33
Eric Ford,5,6,83.33
Christopher Levine,5,6,83.33
Kathryn Parker,5,6,83.33
Raymond Ramirez,5,6,83.33
Alexis Gomez,5,6,83.33
Jonathan Herrera,5,6,83.33
Paul Reed,5,6,83.33
Heather Todd,5,6,83.33
Richard Frank,5,6,83.33
Stephanie Mcneil,5,6,83.33
Bradley Henderson,5,6,83.33
Samantha Myers,5,6,83.33
Tammy Myers,5,6,83.33
Amy Lawson,5,6,83.33
Steven Jordan,10,12,83.33
Breanna Williams,5,6,83.33
Jason Singh,5,6,83.33
Megan Santiago,5,6,83.33
Julie Fox,5,6,83.33
Timothy Navarro,5,6,83.33
Teresa Thompson,10,12,83.33
Amanda Keller,5,6,83.33
Douglas Kelly,5,6,83.33
Karen Tucker,5,6,83.33
Steven Crosby,5,6,83.33
Charles Meyer,5,6,83.33
Anthony Henry,5,6,83.33
Angela Mckinney,5,6,83.33
Victoria Nelson,5,6,83.33
Leonard Davis,5,6,83.33
Jeffrey Caldwell,5,6,83.33
Terry Roberts,5,6,83.33
Kelly Steele,5,6,83.33
Frederick Miller,5,6,83.33
Joseph Brandt,5,6,83.33
Steven Wang,5,6,83.33
Patrick Robertson,5,6,83.33
Mary Francis,5,6,83.33
Brandon Sutton,5,6,83.33
Sherry Adams,5,6,83.33
David Cordova,5,6,83.33
Laura Haynes,5,6,83.33
Alan Lewis,5,6,83.33
William Brandt,5,6,83.33
Alan Phillips,5,6,83.33
Amanda Meyers,5,6,83.33
Nicole Romero,5,6,83.33
Wayne Campbell,5,6,83.33
Jerry Davis,5,6,83.33
Anthony Woods,10,12,83.33
Tiffany Harvey,5,6,83.33
James Moody,10,12,83.33
Robert Cox,15,18,83.33
Vincent Davis,10,12,83.33
Jose James,5,6,83.33
Brooke Jones,10,12,83.33
Julie Walter,5,6,83.33
Pamela Webb,5,6,83.33
Tracy Myers,5,6,83.33
John Shepherd,5,6,83.33
Judy Lee,5,6,83.33
Eric Ewing,5,6,83.33
Lisa Liu,5,6,83.33
Stephanie Hubbard,5,6,83.33
Zachary Arnold,5,6,83.33
Steven Hardy,5,6,83.33
David Snow,5,6,83.33
Alicia Nelson,5,6,83.33
Megan Guzman,5,6,83.33
Stephanie Dalton,5,6,83.33
Denise Martin,10,12,83.33
Ronald Peters,5,6,83.33
Sarah Callahan,5,6,83.33
Thomas Mcmahon,5,6,83.33
Shawn Hall,10,12,83.33
Mary Shelton,5,6,83.33
David Barrera,5,6,83.33
Barbara Reed,5,6,83.33
Jerome Johnson,5,6,83.33
Carolyn Moore,5,6,83.33
Elizabeth Fowler,5,6,83.33
Helen Davis,5,6,83.33
Jean Williams,5,6,83.33
Jaclyn Johnson,5,6,83.33
April Jackson,10,12,83.33
Colin Perez,5,6,83.33
Patricia Murray,5,6,83.33
Steven Hicks,5,6,83.33
Matthew Beard,5,6,83.33
Elizabeth Humphrey,5,6,83.33
Jason Holt,5,6,83.33
Sharon Howell,5,6,83.33
Carolyn Harrison,5,6,83.33
Rachel Walsh,5,6,83.33
Todd Rodriguez,10,12,83.33
Rachel Edwards,10,12,83.33
Kimberly Mcpherson,5,6,83.33
Noah Martinez,5,6,83.33
Timothy Hartman,5,6,83.33
Crystal Gardner,5,6,83.33
Jerry Turner,5,6,83.33
Traci Williams,5,6,83.33
Taylor Rice,5,6,83.33
Timothy Hoover,5,6,83.33
Corey Stewart,5,6,83.33
Patrick Daniels,5,6,83.33
Destiny Johnson,5,6,83.33
Eric Woods,5,6,83.33
Michael Whitehead,5,6,83.33
Alexis Diaz,5,6,83.33
David Burgess,5,6,83.33
Douglas Collins,5,6,83.33
Jamie Watson,5,6,83.33
Sherry Edwards,5,6,83.33
Elizabeth Chapman,5,6,83.33
Aaron Caldwell,5,6,83.33
Kelly Elliott,5,6,83.33
Marcus Bryant,5,6,83.33
Robert Holt,5,6,83.33
Jesse Clark,10,12,83.33
Nicholas Powell,10,12,83.33
Michael Macdonald,5,6,83.33
Stephen Mendoza,5,6,83.33
Tammy Chen,5,6,83.33
Mary Mcclain,5,6,83.33
Jason Watts,5,6,83.33
Maria Clark,15,18,83.33
Thomas Carroll,5,6,83.33
Shannon Baldwin,5,6,83.33
Amanda Craig,5,6,83.33
Katherine Grant,5,6,83.33
Kevin Krause,5,6,83.33
Joshua Lane,5,6,83.33
Taylor Peterson,5,6,83.33
Trevor Gonzalez,5,6,83.33
Joseph Dixon,15,18,83.33
Anthony Daniel,5,6,83.33
Mary Spencer,5,6,83.33
Ann Lopez,5,6,83.33
Anthony Warren,5,6,83.33
Rachael Williams,5,6,83.33
Lindsay Young,5,6,83.33
Christian Rivera,5,6,83.33
Karen Fisher,5,6,83.33
Luke Thompson,5,6,83.33
Kenneth Larson,5,6,83.33
David Cochran,5,6,83.33
Melissa Burns,10,12,83.33
Joseph Andersen,5,6,83.33
Martha Hall,5,6,83.33
Kimberly Holmes,5,6,83.33
Jennifer Herring,5,6,83.33
Nathaniel Wilson,5,6,83.33
Laura Daniels,5,6,83.33
Zachary Vasquez,5,6,83.33
William Skinner,5,6,83.33
Jesse Palmer,5,6,83.33
Steven Mills,5,6,83.33
Ashley Black,5,6,83.33
Willie Martinez,5,6,83.33
Brianna Jones,15,18,83.33
Melissa Serrano,5,6,83.33
Justin Swanson,5,6,83.33
Karen Porter,5,6,83.33
Christine Waters,5,6,83.33
Natalie Peters,5,6,83.33
Larry Gomez,5,6,83.33
Christine Flores,5,6,83.33
Tracy Simmons,5,6,83.33
Steven Benson,5,6,83.33
Ronald Gomez,5,6,83.33
Patricia Gardner,5,6,83.33
Tina Gutierrez,5,6,83.33
Matthew Whitehead,5,6,83.33
Crystal Morris,5,6,83.33
Jason Hughes,15,18,83.33
Matthew Houston,5,6,83.33
Karen Jimenez,5,6,83.33
Jamie Woods,5,6,83.33
Jerry Baker,5,6,83.33
Timothy Skinner,5,6,83.33
Gregory Sandoval,5,6,83.33
Stephanie Schmitt,5,6,83.33
Mary Ingram,5,6,83.33
James Key,5,6,83.33
Tiffany Evans,5,6,83.33
Timothy Ortega,5,6,83.33
Anna Hunt,5,6,83.33
Donald Martinez,10,12,83.33
Scott Barton,5,6,83.33
Alyssa Olson,5,6,83.33
Rebekah Jones,5,6,83.33
Cindy Joseph,5,6,83.33
Stephanie Beck,5,6,83.33
Tina Camacho,5,6,83.33
Melanie Ramirez,5,6,83.33
Joseph Holloway,5,6,83.33
Timothy Lowe,5,6,83.33
Tiffany Patterson,5,6,83.33
Jason Santos,5,6,83.33
John Irwin,5,6,83.33
Steven Camacho,5,6,83.33
Adam Walters,5,6,83.33
Bryan Bennett,5,6,83.33
Jill Allen,5,6,83.33
Joseph Bernard,5,6,83.33
Stephen Freeman,5,6,83.33
Tyler Freeman,5,6,83.33
Jason Hoover,5,6,83.33
Daniel Salazar,5,6,83.33
Joseph Wilcox,5,6,83.33
Jeffrey Thompson,30,36,83.33
Troy Lewis,5,6,83.33
Valerie Wilson,10,12,83.33
Paul Stone,5,6,83.33
Allen Lopez,5,6,83.33
Courtney Reed,5,6,83.33
William Carlson,10,12,83.33
Jordan Boyd,5,6,83.33
Shirley Davis,5,6,83.33
Kelly Craig,5,6,83.33
Rebecca Douglas,5,6,83.33
Amy Greene,5,6,83.33
Hannah Mann,5,6,83.33
Cynthia Little,5,6,83.33
Alan Thompson,5,6,83.33
Douglas Young,5,6,83.33
Jennifer Navarro,5,6,83.33
Linda Pearson,5,6,83.33
Richard Espinoza,5,6,83.33
Teresa Murphy,5,6,83.33
Joseph Bond,5,6,83.33
Brittney Cruz,5,6,83.33
Adam Wood,5,6,83.33
Justin Strickland,5,6,83.33
Donald Hayes,5,6,83.33
Elizabeth Gross,5,6,83.33
David Moody,10,12,83.33
Ryan Lindsey,5,6,83.33
Suzanne Walker,5,6,83.33
James Hurley,5,6,83.33
Karen Fields,5,6,83.33
Patrick Mccarthy,5,6,83.33
Craig King,5,6,83.33
Leslie Bennett,5,6,83.33
Todd Ward,5,6,83.33
Eric Jensen,5,6,83.33
Carol Baker,5,6,83.33
Shannon Stevens,5,6,83.33
Stephanie Sherman,5,6,83.33
Timothy Johnston,5,6,83.33
James Compton,5,6,83.33
Teresa Chavez,5,6,83.33
Joshua Buchanan,5,6,83.33
Daniel Hess,5,6,83.33
Donald Gray,5,6,83.33
Victoria Fox,5,6,83.33
Diana Foster,5,6,83.33
Ashley Goodwin,5,6,83.33
Derek Mitchell,5,6,83.33
Amanda Rivera,10,12,83.33
Debra King,5,6,83.33
Julia Moore,10,12,83.33
Michelle Watkins,5,6,83.33
Kathryn Mack,5,6,83.33
Taylor Martin,15,18,83.33
Cynthia Guzman,5,6,83.33
Gerald Hernandez,5,6,83.33
Christina Moreno,5,6,83.33
James Rollins,5,6,83.33
James Chandler,10,12,83.33
Brian Armstrong,5,6,83.33
Elizabeth Mcgee,5,6,83.33
Rachael Wilson,5,6,83.33
Jill Brooks,5,6,83.33
Deborah Sandoval,5,6,83.33
Kristen Wood,5,6,83.33
Joseph Doyle,5,6,83.33
Scott Garza,5,6,83.33
Sean Patterson,5,6,83.33
Austin King,5,6,83.33
Allison Hunter,5,6,83.33
Miranda Evans,5,6,83.33
Billy Robinson,5,6,83.33
Lisa Rush,5,6,83.33
Laurie Perez,5,6,83.33
Emily Rodgers,5,6,83.33
Ricardo Miller,5,6,83.33
Thomas Mckenzie,5,6,83.33
Ellen Jones,5,6,83.33
James Parrish,5,6,83.33
Joshua Logan,5,6,83.33
Andrea Stevens,5,6,83.33
Christopher Mcintosh,5,6,83.33
Alan Bailey,5,6,83.33
Kelly Diaz,5,6,83.33
Nathan Ellis,5,6,83.33
Ryan Suarez,5,6,83.33
Scott Townsend,5,6,83.33
Donna Thomas,10,12,83.33
Anthony Goodwin,5,6,83.33
Michelle Dyer,5,6,83.33
Mark Richards,5,6,83.33
David Chase,5,6,83.33
Michelle Gonzales,15,18,83.33
William Molina,5,6,83.33
Nathan Patterson,5,6,83.33
Brittany Foster,5,6,83.33
Laura Mendoza,5,6,83.33
Kevin Cantrell,5,6,83.33
Lori Black,5,6,83.33
April Torres,5,6,83.33
Kelly Soto,5,6,83.33
Wesley White,5,6,83.33
Donna Baker,10,12,83.33
Richard Parks,5,6,83.33
Greg Jones,5,6,83.33
Michelle Brewer,5,6,83.33
Christina Bell,5,6,83.33
Amanda Higgins,5,6,83.33
Scott Herrera,5,6,83.33
Tracy Reed,5,6,83.33
Melissa Mclaughlin,5,6,83.33
Amanda Villarreal,5,6,83.33
Johnny Bell,5,6,83.33
Amanda Soto,5,6,83.33
Ryan Reese,5,6,83.33
Amanda Cummings,5,6,83.33
Chelsea Wilson,10,12,83.33
Rachel Knight,5,6,83.33
Shelby Thomas,5,6,83.33
Arthur White,5,6,83.33
William Mullins,5,6,83.33
Brooke Williams,10,12,83.33
Paul Pugh,5,6,83.33
Joshua Short,5,6,83.33
Angela Contreras,5,6,83.33
Rebecca Pitts,5,6,83.33
Anita Brown,10,12,83.33
Thomas Morris,15,18,83.33
Justin Wood,5,6,83.33
Francisco Davis,5,6,83.33
Jack Wright,5,6,83.33
Nicholas Freeman,5,6,83.33
Raymond Walker,5,6,83.33
Angel King,5,6,83.33
Rodney Davis,10,12,83.33
Kayla Roberts,5,6,83.33
Brandon Simon,5,6,83.33
Melissa Blair,5,6,83.33
Karen Ibarra,5,6,83.33
Desiree Johnson,5,6,83.33
David Rice,10,12,83.33
Douglas Harris,10,12,83.33
Joshua Singh,5,6,83.33
Cynthia Bennett,5,6,83.33
Stephanie Ruiz,5,6,83.33
Michael Blevins,5,6,83.33
Francisco Hill,5,6,83.33
Sarah Hancock,5,6,83.33
Paul Cole,5,6,83.33
Chelsea Chapman,5,6,83.33
Heather Nichols,5,6,83.33
Lindsay Baker,5,6,83.33
Jessica Lowe,5,6,83.33
Diana Campbell,5,6,83.33
Brittany Morales,5,6,83.33
John Boyd,20,24,83.33
Mr. Michael Smith,5,6,83.33
Eileen Jones,5,6,83.33
Jose Murphy,5,6,83.33
Kaitlyn Jackson,5,6,83.33
April Howard,5,6,83.33
Taylor Juarez,5,6,83.33
Mark Collier,5,6,83.33
Adam Schwartz,5,6,83.33
Terry Morales,5,6,83.33
Richard Pitts,5,6,83.33
Amy Cummings,5,6,83.33
Anthony Lara,5,6,83.33
Robert Gates,5,6,83.33
Daniel Mosley,5,6,83.33
Michele Jenkins,5,6,83.33
James Mays,5,6,83.33
Margaret Rodriguez,10,12,83.33
Sydney Davis,5,6,83.33
Alexander Beck,5,6,83.33
Patrick Short,5,6,83.33
Kimberly Reed,15,18,83.33
Justin Fuller,5,6,83.33
Victoria Scott,15,18,83.33
Renee Evans,5,6,83.33
Daniel Chandler,5,6,83.33
Veronica Rivera,5,6,83.33
Anna Cobb,5,6,83.33
Angela Schmidt,5,6,83.33
Cory Martin,5,6,83.33
Allen White,5,6,83.33
John Hoover,5,6,83.33
Mark Lane,5,6,83.33
Louis Garcia,5,6,83.33
Charles Larson,5,6,83.33
Daniel Brewer,5,6,83.33
Matthew Tate,5,6,83.33
Rebecca Patel,5,6,83.33
Stephanie Delgado,10,12,83.33
Kevin Cunningham,10,12,83.33
Diane Morgan,5,6,83.33
Kayla Bradley,5,6,83.33
Andrew Robbins,5,6,83.33
Patrick Jensen,5,6,83.33
Andrew Wells,10,12,83.33
Mary Mays,5,6,83.33
Kimberly Hardy,5,6,83.33
Donna Guerrero,5,6,83.33
Cathy Moore,5,6,83.33
Rebecca Knight,5,6,83.33
Emily Parrish,5,6,83.33
James Stevenson,5,6,83.33
Patricia Bryant,5,6,83.33
Jasmine Sanchez,5,6,83.33
Brittany Zimmerman,5,6,83.33
Cynthia Turner,5,6,83.33
Denise Sullivan,5,6,83.33
Tina Ortiz,5,6,83.33
Brittney White,5,6,83.33
Christopher Murillo,5,6,83.33
Benjamin Hayes,5,6,83.33
Carrie Robbins,5,6,83.33
Kyle Gordon,5,6,83.33
Jordan Hughes,5,6,83.33
David Rivers,5,6,83.33
Steven Russo,5,6,83.33
Michele Evans,10,12,83.33
Aimee Johnson,5,6,83.33
Joshua Day,5,6,83.33
Kenneth Carroll,5,6,83.33
Kimberly Kidd,5,6,83.33
Joshua Willis,5,6,83.33
Ronald Perry,5,6,83.33
Susan Barker,5,6,83.33
Dennis Hill,5,6,83.33
Steve Cooper,5,6,83.33
Taylor Garza,5,6,83.33
Blake Walker,5,6,83.33
Frank Perez,5,6,83.33
Stephanie Mcdaniel,5,6,83.33
Donald Fernandez,5,6,83.33
Matthew Carter,20,24,83.33
Jonathan Mills,5,6,83.33
Maria Russell,5,6,83.33
Brian Roberts,20,24,83.33
Anthony Montes,5,6,83.33
Angela Gallagher,5,6,83.33
Nicole Ballard,5,6,83.33
Kyle Burton,5,6,83.33
Jeffrey Fernandez,5,6,83.33
Christina Bowers,5,6,83.33
Diane Parker,5,6,83.33
Alicia Martinez,10,12,83.33
Amber Herrera,5,6,83.33
Heather West,5,6,83.33
Amy Conner,5,6,83.33
Denise Lewis,10,12,83.33
Rachel Harvey,5,6,83.33
Daniel Buckley,5,6,83.33
Joan Garcia,5,6,83.33
Allison Torres,5,6,83.33
Patrick Harrison,5,6,83.33
Caleb Anderson,5,6,83.33
Sandra Howard,5,6,83.33
Courtney Anderson,20,24,83.33
Jonathan Walters,5,6,83.33
Emily Hanson,5,6,83.33
James Cole,15,18,83.33
Joshua Daniels,5,6,83.33
Stephanie Juarez,5,6,83.33
Christina Potter,5,6,83.33
Rebecca French,5,6,83.33
Kenneth Gray,5,6,83.33
Matthew Kaufman,5,6,83.33
Jacqueline Kennedy,5,6,83.33
George Collins,5,6,83.33
Natalie Sanchez,5,6,83.33
Tammy Reynolds,5,6,83.33
Sierra Martin,5,6,83.33
Anthony Ellis,15,18,83.33
Paul Tate,5,6,83.33
Brandy Watson,5,6,83.33
Jessica Simpson,5,6,83.33
Julia Chambers,5,6,83.33
Justin Rivera,20,24,83.33
Katherine Castillo,5,6,83.33
Lauren Mendoza,5,6,83.33
Jamie Hill,10,12,83.33
Danielle Knight,5,6,83.33
Carol Scott,5,6,83.33
Alexander Hayes,5,6,83.33
Douglas Turner,5,6,83.33
Andrew Johnston,5,6,83.33
Angela Hoffman,5,6,83.33
Jordan Graham,5,6,83.33
Kimberly Cortez,5,6,83.33
Mark Elliott,10,12,83.33
Joshua Williamson,5,6,83.33
Valerie Cole,5,6,83.33
Cynthia Reyes,5,6,83.33
Melanie Cox,5,6,83.33
Jessica Camacho,5,6,83.33
Cheryl Lee,5,6,83.33
Eric Crawford,5,6,83.33
Kevin Forbes,5,6,83.33
Jenna Fernandez,5,6,83.33
Timothy Wilcox,5,6,83.33
Kathleen Brewer,5,6,83.33
William Schaefer,5,6,83.33
Angela Lane,5,6,83.33
Joseph Baxter,5,6,83.33
Emma Miller,5,6,83.33
Cody Gomez,5,6,83.33
Robert Nash,5,6,83.33
Sarah Walton,5,6,83.33
Linda Hunter,5,6,83.33
Samantha Simon,5,6,83.33
Lisa Blackburn,5,6,83.33
Louis Edwards,5,6,83.33
Timothy Vasquez,5,6,83.33
Teresa Day,5,6,83.33
Casey Robinson,5,6,83.33
Barbara Rivera,5,6,83.33
Jonathan Vega,5,6,83.33
David Pennington,5,6,83.33
Matthew Townsend,5,6,83.33
Linda Hunt,5,6,83.33
Steven Russell,10,12,83.33
Angel Green,5,6,83.33
Christopher May,10,12,83.33
Richard Franklin,5,6,83.33
Austin Perez,5,6,83.33
Kyle Mccormick,5,6,83.33
Philip Lopez,5,6,83.33
Michelle Terry,5,6,83.33
Samuel Richards,5,6,83.33
Robert Barry,5,6,83.33
Michelle Marsh,5,6,83.33
Brandon Duran,5,6,83.33
Melissa Foley,5,6,83.33
Alexander Cook,5,6,83.33
Holly King,5,6,83.33
Timothy Ross,10,12,83.33
Jessica Hammond,5,6,83.33
Catherine Myers,5,6,83.33
Derek Thompson,5,6,83.33
Theresa Morris,5,6,83.33
Dana Peterson,5,6,83.33
Katie Hill,5,6,83.33
Betty Hernandez,5,6,83.33
Andrea Sanders,5,6,83.33
Ashley Mccoy,5,6,83.33
Lindsey Taylor,5,6,83.33
Sherri Davis,10,12,83.33
Brandon Stevens,5,6,83.33
Daniel Blackwell,5,6,83.33
Anne Baker,5,6,83.33
Jennifer Coffey,5,6,83.33
Charles Kelley,5,6,83.33
Andrew Brock,5,6,83.33
Jeffrey Larson,5,6,83.33
Patricia Weber,5,6,83.33
Brandon Pearson,5,6,83.33
April Dixon,5,6,83.33
William Foley,5,6,83.33
Rebecca Simmons,5,6,83.33
Brianna Ellis,5,6,83.33
Brittany Wolfe,5,6,83.33
Keith Rivera,5,6,83.33
Jose Richardson,5,6,83.33
Jonathan French,5,6,83.33
Kimberly Floyd,5,6,83.33
Scott Ruiz,5,6,83.33
Sandra Moreno,5,6,83.33
Timothy Watkins,5,6,83.33
Shannon Brady,5,6,83.33
Danielle Rogers,5,6,83.33
Nicole Lynch,5,6,83.33
Michael Ho,5,6,83.33
Travis Peterson,5,6,83.33
Paul Patterson,5,6,83.33
Erica Thomas,5,6,83.33
Justin Mcdaniel,5,6,83.33
Christopher Escobar,5,6,83.33
Dana Rogers,5,6,83.33
Jared Gonzalez,5,6,83.33
Devin Brown,10,12,83.33
Jessica Potter,5,6,83.33
Gina Anderson,5,6,83.33
April Schmidt,5,6,83.33
Victoria Gordon,5,6,83.33
Ronald Wright,5,6,83.33
Kristen Aguilar,5,6,83.33
Lisa Duncan,5,6,83.33
Lisa Villarreal,5,6,83.33
Taylor Morgan,10,12,83.33
Cathy Wilson,5,6,83.33
Sarah Dawson,5,6,83.33
Stephanie Lane,5,6,83.33
Michael Dunlap,5,6,83.33
Beth Lee,5,6,83.33
Wayne Gonzalez,5,6,83.33
Samuel Griffin,5,6,83.33
Craig Phillips,5,6,83.33
Mary Caldwell,5,6,83.33
Brian Mercado,5,6,83.33
Lisa Holder,5,6,83.33
Julia Garcia,15,18,83.33
Brianna Kelly,5,6,83.33
Susan Sims,5,6,83.33
Jonathan Webb,5,6,83.33
Brad Wilson,5,6,83.33
Jacob Harper,5,6,83.33
Jennifer Waller,5,6,83.33
Daniel Hammond,5,6,83.33
Angela Griffith,5,6,83.33
Curtis Young,5,6,83.33
Danielle Ford,5,6,83.33
Susan Massey,5,6,83.33
Amy Collier,5,6,83.33
Melissa Frazier,5,6,83.33
Lisa Reid,5,6,83.33
Jack Gonzalez,5,6,83.33
Traci Hernandez,5,6,83.33
Lisa Norman,5,6,83.33
Tiffany Kim,5,6,83.33
Krista Thomas,5,6,83.33
Teresa Snyder,5,6,83.33
Karen Ballard,5,6,83.33
Christopher Rhodes,5,6,83.33
Dylan Walker,5,6,83.33
Justin Richardson,10,12,83.33
Justin Hoffman,5,6,83.33
Stephen Price,5,6,83.33
Danielle Kennedy,5,6,83.33
Danielle Marshall,5,6,83.33
Frank Adams,5,6,83.33
Tina White,10,12,83.33
Tracy George,5,6,83.33
Gary Erickson,5,6,83.33
Julie Perkins,5,6,83.33
Ronald Mack,5,6,83.33
Michelle Hart,5,6,83.33
Melissa Miles,5,6,83.33
William Hoffman,5,6,83.33
Joshua Hansen,5,6,83.33
Charles Drake,5,6,83.33
Kelly Morales,5,6,83.33
Diana Vasquez,5,6,83.33
Jason Jacobs,5,6,83.33
Ashley Abbott,5,6,83.33
Jonathon Davis,5,6,83.33
Andrew Mills,5,6,83.33
Brandon Jensen,5,6,83.33
Ashley Ramsey,5,6,83.33
Timothy Booth,5,6,83.33
Mark Harper,5,6,83.33
Dustin Lopez,5,6,83.33
Angela Morrison,5,6,83.33
Jasmine Flores,5,6,83.33
Mary Little,5,6,83.33
Andre Garcia,5,6,83.33
Holly Carr,5,6,83.33
Nicholas Brooks,10,12,83.33
Kelly Skinner,5,6,83.33
